id,data,valor
1,11/23/2021,923
2,2/15/2021,309
3,5/8/2021,702
4,9/26/2019,1088
5,4/6/2021,1022
6,12/24/2020,838
7,1/9/2021,-77
8,2/19/2020,1196
9,3/3/2021,585
10,8/18/2020,-393
11,11/12/2021,-54
12,9/11/2020,628
13,8/2/2020,589
14,8/19/2019,483
15,6/8/2021,
16,11/28/2020,365
17,6/13/2021,324
18,5/9/2020,674
19,9/28/2019,79
20,10/9/2021,1302
21,10/30/2019,1221
22,6/20/2020,753
23,8/19/2019,1456
24,10/29/2021,1418
25,10/5/2021,1174
26,7/27/2021,1292
27,8/28/2020,-63
28,12/25/2020,112
29,4/21/2020,67
30,8/16/2019,1488
31,5/15/2021,920
32,4/19/2020,41
33,2/12/2020,-202
34,10/23/2019,147
35,2/16/2020,135
36,6/1/2021,-447
37,6/15/2020,494
38,8/16/2020,161
39,4/9/2021,659
40,8/12/2021,891
41,11/7/2020,1046
42,3/9/2021,808
43,11/7/2019,835
44,1/3/2021,872
45,8/29/2019,273
46,4/2/2020,1054
47,8/30/2021,
48,12/14/2019,461
49,11/9/2021,-449
50,8/30/2020,378
51,12/28/2020,653
52,12/24/2020,1445
53,1/20/2020,369
54,3/24/2020,238
55,4/10/2021,-366
56,11/22/2020,959
57,1/2/2021,1020
58,9/11/2019,674
59,1/4/2021,-3
60,10/17/2019,720
61,3/7/2021,-190
62,12/1/2020,
63,10/7/2021,1399
64,9/6/2020,1033
65,6/27/2021,1238
66,7/4/2020,-412
67,11/23/2021,833
68,3/30/2020,1447
69,3/13/2020,530
70,11/7/2021,-420
71,4/5/2020,-210
72,11/2/2021,738
73,3/25/2020,1075
74,5/4/2020,956
75,4/22/2020,-275
76,7/7/2020,-402
77,1/11/2021,689
78,3/26/2021,383
79,10/11/2020,731
80,9/10/2020,-116
81,6/6/2020,-449
82,4/24/2021,1002
83,8/26/2020,1221
84,3/6/2020,961
85,6/21/2021,1481
86,9/22/2021,-481
87,6/5/2020,992
88,12/17/2020,205
89,2/19/2020,-257
90,10/10/2021,670
91,2/26/2020,-31
92,2/25/2021,1132
93,10/19/2020,-312
94,12/4/2020,949
95,12/17/2019,1323
96,5/15/2021,-497
97,8/18/2021,1353
98,6/20/2020,383
99,4/27/2021,148
100,11/11/2021,449
101,7/26/2021,125
102,11/12/2021,145
103,1/18/2020,1091
104,8/21/2019,73
105,1/20/2021,628
106,6/3/2020,822
107,5/14/2020,721
108,8/29/2021,1402
109,5/24/2021,1390
110,3/10/2020,-332
111,12/31/2020,-400
112,10/26/2020,584
113,11/4/2021,-249
114,9/1/2019,464
115,8/5/2020,-3
116,7/14/2020,346
117,4/3/2020,-56
118,1/19/2021,1206
119,7/16/2020,-319
120,1/22/2021,1048
121,11/16/2019,-309
122,5/19/2020,
123,9/28/2019,363
124,,1071
125,5/27/2020,821
126,4/7/2020,1215
127,4/27/2021,1280
128,12/14/2019,-175
129,5/16/2020,813
130,6/11/2021,964
131,1/5/2021,460
132,7/17/2020,-261
133,3/7/2021,1357
134,11/3/2021,-498
135,11/16/2021,847
136,7/7/2021,261
137,3/28/2020,456
138,3/7/2021,111
139,8/19/2020,865
140,,-356
141,12/9/2019,1425
142,8/18/2019,1469
143,7/19/2021,1454
144,6/4/2020,495
145,8/28/2021,
146,5/8/2020,-150
147,10/3/2020,153
148,2/4/2021,1475
149,10/5/2019,944
150,11/14/2019,537
151,6/29/2021,-404
152,2/11/2021,689
153,11/29/2019,407
154,11/11/2021,-324
155,5/31/2021,55
156,12/3/2020,-116
157,7/2/2020,1377
158,2/26/2021,304
159,6/16/2020,161
160,1/11/2021,163
161,1/28/2021,1008
162,2/23/2021,422
163,2/20/2021,669
164,1/26/2020,1435
165,7/17/2020,-250
166,4/27/2020,348
167,7/28/2020,64
168,9/3/2020,786
169,11/20/2021,-199
170,3/11/2021,-136
171,8/31/2020,-257
172,8/31/2020,-170
173,10/2/2020,-156
174,8/26/2020,530
175,6/13/2021,114
176,5/22/2021,1166
177,3/31/2020,448
178,11/4/2021,365
179,5/21/2020,316
180,4/15/2021,1206
181,8/13/2020,746
182,2/11/2020,438
183,11/25/2019,-189
184,5/20/2021,224
185,11/30/2020,143
186,2/8/2020,667
187,3/6/2021,660
188,2/15/2020,-33
189,5/6/2020,381
190,4/21/2020,1353
191,11/23/2019,1429
192,,1154
193,3/8/2021,-448
194,3/24/2020,727
195,1/10/2020,
196,10/10/2019,1458
197,6/3/2021,
198,9/25/2019,
199,4/20/2020,68
200,12/18/2020,478
201,11/9/2021,104
202,9/3/2020,700
203,4/24/2021,965
204,10/21/2020,893
205,7/26/2020,580
206,4/3/2020,884
207,1/13/2021,1467
208,9/22/2021,-145
209,12/30/2020,94
210,1/21/2020,320
211,,-181
212,11/25/2020,1063
213,5/14/2021,709
214,10/20/2019,619
215,11/1/2021,249
216,10/27/2021,985
217,9/13/2019,-197
218,12/19/2019,390
219,10/29/2021,-87
220,10/14/2020,-314
221,3/6/2021,-295
222,,1061
223,3/28/2021,627
224,9/19/2021,-6
225,12/23/2020,707
226,12/8/2020,-296
227,2/1/2021,1216
228,10/26/2021,1232
229,10/10/2019,793
230,6/10/2020,841
231,9/27/2021,552
232,12/24/2020,608
233,10/23/2020,823
234,11/16/2019,188
235,6/11/2021,30
236,9/7/2020,517
237,12/22/2019,984
238,9/11/2021,181
239,2/15/2021,-456
240,12/18/2019,1307
241,2/13/2020,-188
242,12/10/2020,-357
243,6/10/2021,-130
244,3/23/2021,
245,,1065
246,8/2/2020,928
247,2/10/2020,1048
248,10/4/2020,586
249,9/21/2020,1491
250,10/26/2021,12
251,8/5/2021,128
252,8/7/2020,440
253,9/22/2019,881
254,6/3/2020,1269
255,8/10/2021,406
256,10/24/2019,-220
257,9/29/2021,
258,11/6/2021,606
259,7/17/2021,-366
260,10/8/2019,241
261,9/29/2020,800
262,5/13/2020,475
263,12/4/2019,1460
264,6/15/2020,220
265,12/30/2019,1090
266,8/16/2021,-221
267,5/19/2020,701
268,3/23/2020,1177
269,8/6/2019,969
270,,386
271,3/20/2021,393
272,9/11/2021,1444
273,4/10/2021,80
274,2/15/2021,1299
275,6/19/2021,1152
276,11/30/2020,-458
277,3/16/2020,-207
278,9/25/2019,768
279,11/16/2021,1022
280,6/18/2021,390
281,1/18/2020,1149
282,12/18/2019,978
283,10/12/2021,1353
284,7/15/2021,1432
285,,409
286,10/7/2019,1233
287,6/28/2021,1126
288,10/21/2021,892
289,7/25/2020,994
290,8/21/2021,108
291,12/4/2020,1076
292,2/23/2020,344
293,7/13/2020,640
294,9/28/2021,1356
295,7/19/2021,
296,10/12/2019,-479
297,8/18/2019,936
298,11/20/2021,679
299,7/24/2021,368
300,1/14/2021,83
301,12/6/2020,-151
302,3/16/2020,-370
303,11/8/2019,746
304,7/23/2020,743
305,5/13/2020,769
306,10/13/2020,1004
307,1/16/2021,974
308,5/9/2020,945
309,5/18/2020,25
310,1/6/2021,837
311,7/20/2021,-167
312,11/13/2019,-142
313,9/5/2021,822
314,2/20/2020,345
315,12/25/2019,1347
316,8/4/2020,345
317,8/26/2020,201
318,11/16/2020,-439
319,6/5/2021,-178
320,4/2/2021,825
321,11/3/2020,837
322,12/9/2019,1346
323,10/20/2019,733
324,9/25/2020,321
325,3/29/2021,1151
326,2/16/2020,531
327,8/15/2020,693
328,4/7/2021,856
329,1/29/2020,1482
330,11/24/2020,1268
331,4/6/2021,-108
332,5/14/2021,659
333,7/26/2021,925
334,3/28/2021,-242
335,5/16/2020,398
336,11/12/2021,422
337,7/13/2021,-401
338,11/9/2019,63
339,11/22/2021,530
340,12/25/2019,-322
341,3/24/2020,1500
342,5/7/2021,333
343,10/8/2020,798
344,10/16/2021,-332
345,1/17/2021,1417
346,10/9/2019,601
347,11/26/2020,-356
348,10/14/2019,735
349,4/28/2021,1137
350,5/22/2021,1398
351,,1248
352,2/9/2021,-373
353,6/9/2021,63
354,9/26/2019,-476
355,10/9/2021,-459
356,5/9/2020,89
357,7/2/2021,648
358,5/3/2020,387
359,5/13/2020,366
360,5/4/2020,301
361,6/15/2020,1192
362,8/22/2020,-325
363,12/13/2019,1174
364,3/2/2021,472
365,3/20/2021,-71
366,9/23/2019,-374
367,9/20/2019,1233
368,7/30/2020,1419
369,10/22/2021,1060
370,5/27/2020,1214
371,5/6/2020,-239
372,2/20/2020,1175
373,7/2/2020,
374,4/27/2021,832
375,5/6/2021,831
376,11/29/2020,1319
377,9/4/2019,314
378,9/19/2019,-58
379,9/23/2020,400
380,2/10/2020,366
381,9/13/2019,-332
382,2/20/2020,-22
383,12/8/2019,1368
384,8/27/2021,1289
385,7/30/2021,313
386,7/11/2020,-141
387,11/10/2019,940
388,7/4/2020,1208
389,10/20/2021,449
390,,842
391,12/26/2020,301
392,9/3/2021,516
393,9/9/2019,-194
394,4/23/2020,470
395,9/17/2021,152
396,1/16/2021,82
397,10/17/2019,-406
398,4/12/2020,
399,1/12/2020,1368
400,5/3/2021,1343
401,12/1/2019,1361
402,4/21/2020,1065
403,8/12/2020,118
404,9/21/2021,-443
405,10/20/2020,-461
406,8/26/2020,-334
407,5/24/2021,838
408,2/23/2020,560
409,2/6/2020,831
410,7/6/2021,1398
411,,944
412,1/30/2020,1497
413,1/9/2021,1085
414,5/31/2020,1497
415,10/14/2020,986
416,8/20/2020,-56
417,11/11/2020,1418
418,8/19/2020,-186
419,4/16/2020,-119
420,11/22/2019,-425
421,7/10/2021,1461
422,5/29/2021,1394
423,6/7/2020,613
424,1/2/2021,-323
425,5/20/2020,92
426,1/22/2020,535
427,12/1/2019,105
428,10/17/2019,1441
429,3/1/2020,541
430,11/26/2020,-127
431,2/8/2020,834
432,10/14/2019,477
433,12/9/2019,1172
434,7/16/2021,500
435,10/12/2020,1008
436,10/26/2020,1493
437,7/30/2020,792
438,6/2/2020,583
439,5/6/2020,-466
440,10/23/2020,183
441,2/22/2020,773
442,5/29/2021,331
443,8/4/2020,540
444,10/14/2020,943
445,12/10/2020,104
446,9/8/2021,521
447,6/7/2020,1429
448,11/25/2019,295
449,6/13/2021,1171
450,8/26/2020,1100
451,8/17/2020,-196
452,11/15/2020,323
453,9/12/2020,1493
454,7/11/2020,-365
455,7/16/2021,35
456,,-243
457,10/24/2021,-418
458,11/3/2019,1314
459,1/27/2020,974
460,9/18/2019,1448
461,10/29/2020,805
462,9/13/2021,-330
463,6/5/2021,866
464,8/7/2020,1094
465,7/20/2021,-159
466,10/13/2020,-18
467,9/8/2020,1048
468,10/24/2020,
469,11/11/2021,1344
470,3/9/2020,225
471,8/14/2021,-291
472,2/18/2020,271
473,11/28/2020,809
474,12/21/2019,346
475,8/3/2020,1445
476,8/6/2020,829
477,6/8/2021,-319
478,4/12/2020,662
479,10/9/2021,964
480,11/24/2020,739
481,11/7/2019,1356
482,8/7/2021,1425
483,9/24/2020,502
484,8/6/2020,-347
485,1/8/2020,-394
486,10/27/2020,1119
487,3/5/2020,917
488,8/15/2020,1100
489,6/11/2021,701
490,2/5/2020,1045
491,4/28/2020,745
492,4/13/2021,966
493,12/10/2019,771
494,12/19/2020,505
495,8/12/2019,817
496,2/25/2021,775
497,9/28/2019,310
498,6/1/2020,1409
499,3/14/2020,-42
500,4/22/2021,106
501,12/28/2020,-430
502,6/20/2020,705
503,10/23/2021,1179
504,6/13/2021,-428
505,1/18/2021,858
506,8/4/2020,370
507,12/6/2019,893
508,11/24/2021,-444
509,5/19/2021,397
510,8/1/2021,
511,2/19/2021,1148
512,9/3/2019,35
513,4/9/2020,469
514,6/11/2021,1044
515,2/12/2021,1041
516,5/14/2021,436
517,10/27/2020,1478
518,8/22/2019,-108
519,11/22/2019,1297
520,10/26/2021,791
521,12/3/2019,136
522,12/11/2020,1373
523,8/16/2020,946
524,11/19/2021,698
525,12/5/2019,-440
526,3/15/2020,972
527,6/20/2021,
528,1/5/2021,968
529,2/5/2021,93
530,9/16/2021,761
531,3/4/2021,1334
532,10/10/2019,-262
533,8/30/2019,-441
534,7/5/2020,633
535,11/9/2020,696
536,1/25/2020,1121
537,3/2/2020,313
538,9/11/2019,85
539,5/30/2021,-478
540,3/7/2020,-308
541,1/1/2020,981
542,3/13/2021,1277
543,12/6/2019,1418
544,8/24/2020,1141
545,3/9/2020,416
546,6/28/2020,381
547,12/30/2020,-498
548,9/25/2021,-477
549,10/5/2020,-215
550,6/3/2021,-11
551,11/9/2020,192
552,3/23/2021,
553,12/17/2019,-240
554,1/6/2020,383
555,2/28/2020,0
556,2/2/2021,1214
557,1/24/2021,-82
558,3/22/2020,-42
559,1/11/2020,-187
560,10/1/2019,1116
561,4/18/2020,9
562,11/14/2021,360
563,9/7/2021,664
564,3/26/2021,
565,10/8/2021,1491
566,6/1/2021,950
567,,-296
568,6/8/2020,-188
569,10/24/2020,457
570,11/11/2021,730
571,3/10/2021,-492
572,6/9/2020,1343
573,4/22/2020,239
574,2/12/2021,738
575,12/5/2020,-249
576,1/16/2021,463
577,6/18/2021,816
578,4/12/2021,-262
579,9/1/2019,-243
580,,712
581,4/22/2020,807
582,1/24/2021,-378
583,8/22/2020,792
584,5/23/2020,846
585,12/5/2019,1231
586,3/25/2020,1206
587,11/29/2019,-185
588,5/28/2021,570
589,3/22/2020,536
590,10/16/2020,934
591,6/16/2020,993
592,5/29/2021,16
593,3/13/2021,-382
594,11/13/2020,676
595,8/28/2020,823
596,11/11/2021,1055
597,11/14/2019,414
598,6/25/2020,939
599,1/29/2021,318
600,4/16/2021,461
601,3/28/2021,324
602,8/28/2020,58
603,,12
604,5/13/2021,-332
605,4/7/2021,765
606,8/19/2021,-179
607,6/3/2021,994
608,3/21/2021,620
609,4/12/2021,1099
610,5/21/2021,-39
611,12/10/2019,74
612,8/5/2021,52
613,9/1/2019,702
614,4/22/2020,18
615,12/2/2019,567
616,12/4/2020,962
617,12/24/2019,567
618,9/8/2019,87
619,3/26/2021,-329
620,3/3/2021,356
621,4/3/2020,708
622,1/7/2020,914
623,9/7/2019,1141
624,4/7/2020,
625,7/2/2020,-128
626,7/1/2021,-34
627,12/20/2020,1019
628,7/3/2020,536
629,6/3/2020,561
630,3/2/2021,1439
631,7/19/2021,238
632,7/29/2021,-439
633,4/2/2020,51
634,2/25/2021,
635,8/26/2019,852
636,6/1/2021,286
637,6/26/2021,889
638,7/3/2020,-164
639,7/5/2021,813
640,7/28/2021,-295
641,3/30/2021,1038
642,10/5/2019,156
643,5/16/2020,
644,6/1/2021,
645,7/27/2020,-428
646,11/6/2019,302
647,3/18/2021,183
648,4/24/2020,-392
649,8/15/2019,441
650,12/19/2019,81
651,4/28/2021,
652,11/8/2019,39
653,1/5/2020,-246
654,10/27/2019,1387
655,5/15/2020,749
656,9/27/2021,-415
657,12/5/2019,
658,12/2/2020,51
659,9/22/2019,1183
660,2/25/2020,925
661,4/21/2020,1175
662,7/5/2020,1360
663,11/25/2020,865
664,5/9/2020,389
665,10/27/2021,383
666,7/8/2021,-432
667,3/27/2020,-10
668,,152
669,3/27/2021,1314
670,8/4/2020,520
671,5/5/2021,491
672,3/30/2020,768
673,11/7/2021,-167
674,2/24/2020,421
675,9/21/2021,-23
676,8/3/2020,27
677,,424
678,10/18/2020,177
679,9/22/2019,977
680,4/27/2020,5
681,11/5/2021,1413
682,10/31/2021,638
683,12/23/2020,
684,10/13/2021,1269
685,12/31/2019,990
686,7/4/2020,1472
